Method,Mean,Variance,Skewness,Kurtosis,Entropy,Label
Entropy,119.76126098632812,1192.5027011524264,-0.3105873454806691,0.1724837011972693,7.048716922674545,0
Chaotic,119.76126098632812,1192.5027011524264,-0.3105873454806691,0.1724837011972693,7.048716922674545,0
Hybrid,119.76126098632812,1192.5027011524264,-0.3105873454806691,0.1724837011972693,7.048716922674545,0
Entropy,115.64750417073567,1629.3985000879748,0.46970715385964606,1.126690038258607,7.181489461411573,0
Chaotic,115.64750417073567,1629.3985000879748,0.46970715385964606,1.126690038258607,7.181489461411573,0
Hybrid,115.64750417073567,1629.3985000879748,0.46970715385964606,1.126690038258607,7.181489461411573,0
Entropy,93.02737172444661,1586.7654632520791,0.4762605320395289,1.2927286474458377,6.928624859448845,0
Chaotic,93.02737172444661,1586.7654632520791,0.4762605320395289,1.2927286474458377,6.928624859448845,0
Hybrid,93.02737172444661,1586.7654632520791,0.4762605320395289,1.2927286474458377,6.928624859448845,0
Entropy,112.23714701334636,2704.983998720817,0.9325753709374548,0.5292931016988076,7.445011728435868,0
Chaotic,112.23714701334636,2704.983998720817,0.9325753709374548,0.5292931016988076,7.445011728435868,0
Hybrid,112.23714701334636,2704.983998720817,0.9325753709374548,0.5292931016988076,7.445011728435868,0
Entropy,105.76332600911458,2954.6246698295895,0.5210660397396587,-0.4082485671280769,7.642647951746795,0
Chaotic,105.76332600911458,2954.6246698295895,0.5210660397396587,-0.4082485671280769,7.642647951746795,0
Hybrid,105.76332600911458,2954.6246698295895,0.5210660397396587,-0.4082485671280769,7.642647951746795,0
Entropy,119.27341969807942,5045.91739102173,0.2573424824621172,-1.2877041372424536,7.804676304558583,0
Chaotic,119.27341969807942,5045.91739102173,0.2573424824621172,-1.2877041372424536,7.804676304558583,0
Hybrid,119.27341969807942,5045.91739102173,0.2573424824621172,-1.2877041372424536,7.804676304558583,0
Entropy,102.8126729329427,1919.7669512131772,0.9142669713891077,1.1626530366404708,7.22019051012924,0
Chaotic,102.8126729329427,1919.7669512131772,0.9142669713891077,1.1626530366404708,7.22019051012924,0
Hybrid,102.8126729329427,1919.7669512131772,0.9142669713891077,1.1626530366404708,7.22019051012924,0
Entropy,82.68433380126953,2203.4435245083682,0.3475301805416053,-0.43750831721161854,7.287147442019519,0
Chaotic,82.68433380126953,2203.4435245083682,0.3475301805416053,-0.43750831721161854,7.287147442019519,0
Hybrid,82.68433380126953,2203.4435245083682,0.3475301805416053,-0.43750831721161854,7.287147442019519,0
Entropy,80.56977081298828,2241.706888422001,1.3142783362688535,2.1585596044893247,7.293457992987359,0
Chaotic,80.56977081298828,2241.706888422001,1.3142783362688535,2.1585596044893247,7.293457992987359,0
Hybrid,80.56977081298828,2241.706888422001,1.3142783362688535,2.1585596044893247,7.293457992987359,0
Entropy,122.49762217203777,2621.3117212339553,0.8550480746115424,0.2441505955200376,7.456971799607811,0
Chaotic,122.49762217203777,2621.3117212339553,0.8550480746115424,0.2441505955200376,7.456971799607811,0
Hybrid,122.49762217203777,2621.3117212339553,0.8550480746115424,0.2441505955200376,7.456971799607811,0
Entropy,180.53548431396484,7514.081056944192,-0.5175127562355025,-1.4473065969447334,4.854588241588501,0
Chaotic,180.53548431396484,7514.081056944192,-0.5175127562355025,-1.4473065969447334,4.854588241588501,0
Hybrid,180.53548431396484,7514.081056944192,-0.5175127562355025,-1.4473065969447334,4.854588241588501,0
Entropy,142.85633595784506,773.2493165959539,-1.3758345958054534,3.8055768111055066,6.24146760275086,0
Chaotic,142.85633595784506,773.2493165959539,-1.3758345958054534,3.8055768111055066,6.24146760275086,0
Hybrid,142.85633595784506,773.2493165959539,-1.3758345958054534,3.8055768111055066,6.24146760275086,0
Entropy,111.61352793375652,1738.5685933418501,0.8139102739175046,1.885274302530199,7.121060981323478,0
Chaotic,111.61352793375652,1738.5685933418501,0.8139102739175046,1.885274302530199,7.121060981323478,0
